Bounces: 3158112
Multiplier: 134
Ball: x=10, y=668, radius=10, vSpeed=1.92, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=-0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
Ball: x=70, y=671, radius=10, vSpeed=2.32, hSpeed=0.00
